cycle: 56; nbPreys: 9; minEnergyPreys: 0.339215686274509; maxSizePreys: 1.0; nbPredators: 48; minEnergyPredators: 0.013333333333333284; maxSizePredators: 1.0
cycle: 57; nbPreys: 8; minEnergyPreys: 0.34215686274509716; maxSizePreys: 1.0; nbPredators: 44; minEnergyPredators: 0.00999999999999985; maxSizePredators: 1.0
cycle: 58; nbPreys: 8; minEnergyPreys: 0.3470588235294108; maxSizePreys: 1.0; nbPredators: 42; minEnergyPredators: 0.06666666666666622; maxSizePredators: 0.98
cycle: 59; nbPreys: 8; minEnergyPreys: 0.3970588235294108; maxSizePreys: 1.0; nbPredators: 42; minEnergyPredators: 0.04666666666666622; maxSizePredators: 0.96
cycle: 60; nbPreys: 8; minEnergyPreys: 0.40392156862744993; maxSizePreys: 1.0; nbPredators: 45; minEnergyPredators: 0.026666666666666217; maxSizePredators: 0.94
cycle: 61; nbPreys: 7; minEnergyPreys: 0.41274509803921455; maxSizePreys: 1.0; nbPredators: 45; minEnergyPredators: 0.006666666666666217; maxSizePredators: 1.0
cycle: 62; nbPreys: 6; minEnergyPreys: 0.42156862745097917; maxSizePreys: 1.0; nbPredators: 41; minEnergyPredators: 0.12000000000000001; maxSizePredators: 0.98
cycle: 63; nbPreys: 5; minEnergyPreys: 0.4303921568627438; maxSizePreys: 1.0; nbPredators: 41; minEnergyPredators: 0.1; maxSizePredators: 1.0
cycle: 64; nbPreys: 5; minEnergyPreys: 0.4411764705882339; maxSizePreys: 1.0; nbPredators: 41; minEnergyPredators: 0.08; maxSizePredators: 0.98
cycle: 65; nbPreys: 5; minEnergyPreys: 0.4519607843137239; maxSizePreys: 1.0; nbPredators: 41; minEnergyPredators: 0.06; maxSizePredators: 0.96
cycle: 66; nbPreys: 5; minEnergyPreys: 0.4637254901960766; maxSizePreys: 1.0; nbPredators: 41; minEnergyPredators: 0.039999999999999994; maxSizePredators: 0.94
cycle: 67; nbPreys: 4; minEnergyPreys: 0.4764705882352921; maxSizePreys: 0.9999999999999997; nbPredators: 41; minEnergyPredators: 0.019999999999999993; maxSizePredators: 0.9199999999999999
cycle: 68; nbPreys: 4; minEnergyPreys: 0.49019607843137036; maxSizePreys: 1.0; nbPredators: 37; minEnergyPredators: 0.03999999999999994; maxSizePredators: 0.8999999999999999
cycle: 69; nbPreys: 4; minEnergyPreys: 0.5049019607843114; maxSizePreys: 1.0; nbPredators: 37; minEnergyPredators: 0.019999999999999938; maxSizePredators: 0.8799999999999999
cycle: 70; nbPreys: 2; minEnergyPreys: 0.5205882352941151; maxSizePreys: 1.0; nbPredators: 33; minEnergyPredators: 0.03999999999999938; maxSizePredators: 1.0
cycle: 71; nbPreys: 2; minEnergyPreys: 0.5372549019607816; maxSizePreys: 1.0; nbPredators: 33; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.98
cycle: 72; nbPreys: 2; minEnergyPreys: 0.5549019607843109; maxSizePreys: 1.0; nbPredators: 33; minEnergyPredators: 0.0999999999999994; maxSizePredators: 0.96
cycle: 73; nbPreys: 2; minEnergyPreys: 0.5735294117647027; maxSizePreys: 1.0; nbPredators: 33; minEnergyPredators: 0.07999999999999939; maxSizePredators: 0.94
cycle: 74; nbPreys: 2; minEnergyPreys: 0.5931372549019573; maxSizePreys: 1.0; nbPredators: 33; minEnergyPredators: 0.05999999999999939; maxSizePredators: 0.9199999999999999
cycle: 75; nbPreys: 1; minEnergyPreys: 0.6137254901960747; maxSizePreys: 0.6137254901960747; nbPredators: 33; minEnergyPredators: 0.03999999999999938; maxSizePredators: 1.0
cycle: 76; nbPreys: 1; minEnergyPreys: 0.6352941176470548; maxSizePreys: 0.6352941176470548; nbPredators: 33; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.98
cycle: 77; nbPreys: 1; minEnergyPreys: 0.6578431372548976; maxSizePreys: 0.6578431372548976; nbPredators: 32; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.96
